Date,Close
12/6/2016,7.2
12/7/2016,7.08
12/8/2016,7.33
12/9/2016,7.69
12/12/2016,6.26
12/13/2016,6.42
12/14/2016,6.5
12/15/2016,6.29
12/16/2016,6.32
12/19/2016,6.72
12/20/2016,7.19
12/21/2016,7.7
12/22/2016,7.83
12/23/2016,7.59
12/27/2016,7.61
12/28/2016,8
12/29/2016,8.15
12/30/2016,8
1/3/2017,7.9
1/4/2017,8.01
1/5/2017,8.3
1/6/2017,8.32
1/9/2017,8.31
1/10/2017,8.6
1/11/2017,8.6
1/12/2017,8.86
1/13/2017,9
1/17/2017,9.23
1/18/2017,9.26
1/19/2017,9.45
1/20/2017,8.7
1/23/2017,9.03
1/24/2017,9.02
1/25/2017,9.05
1/26/2017,9.07
1/27/2017,8.93
1/30/2017,9.21
1/31/2017,8.79
2/1/2017,8.7
2/2/2017,8.76
2/3/2017,8.5
2/6/2017,8.5
2/7/2017,9
2/8/2017,11.71
2/9/2017,10.65
2/10/2017,9.98
2/13/2017,9.9
2/14/2017,9.67
2/15/2017,8.99
2/16/2017,9.02
2/17/2017,8.92
2/21/2017,8.9
2/23/2017,8.86
2/24/2017,8.97
2/27/2017,8.77
2/28/2017,8.08
3/1/2017,8.13
3/2/2017,8.5
3/3/2017,8.64
3/6/2017,8.79
3/7/2017,8.89
3/8/2017,9.13
3/9/2017,9.04
3/10/2017,9.04
3/13/2017,9.75
3/14/2017,10
3/15/2017,9.6
3/16/2017,9.19
3/17/2017,9.04
3/20/2017,8.87
3/21/2017,8.9
3/22/2017,8.87
3/23/2017,8.99
3/24/2017,9.25
3/27/2017,9.21
3/28/2017,9.19
3/29/2017,9.06
3/30/2017,8.98
3/31/2017,8.9
4/3/2017,8.87
4/4/2017,8.87
4/5/2017,9.02
4/6/2017,9.12
4/7/2017,9.68
4/10/2017,9.46
4/11/2017,9.68
4/12/2017,9.38
4/13/2017,9.38
4/17/2017,9.26
4/18/2017,9.26
4/19/2017,9.62
4/20/2017,9.28
4/21/2017,9.19
4/24/2017,9.23
4/25/2017,9.66
4/26/2017,9.74
4/27/2017,9.96
4/28/2017,10.2
5/1/2017,10.38
5/2/2017,10.29
5/3/2017,10.49
5/4/2017,10.59
5/5/2017,10.53
5/8/2017,10.59
5/9/2017,10.84
5/10/2017,11.44
5/11/2017,11.4
5/12/2017,11.54
5/15/2017,11.99
5/16/2017,12.17
5/17/2017,12.07
5/18/2017,11.85
5/19/2017,11.81
5/22/2017,11.68
5/23/2017,12.31
5/24/2017,12.32
5/25/2017,12.5
5/26/2017,12.5
5/30/2017,12.99
5/31/2017,12.85
6/1/2017,13
6/2/2017,13.08
6/5/2017,13.48
6/6/2017,13.75
6/7/2017,13.35
6/8/2017,12.94
6/9/2017,13.39
6/12/2017,13.91
6/13/2017,13.86
6/14/2017,13.57
6/15/2017,13.56
6/16/2017,13.56
6/19/2017,13.25
6/20/2017,13.3
6/22/2017,13.05
6/23/2017,12.92
6/26/2017,12.46
6/27/2017,11.54
6/28/2017,10.42
6/29/2017,10.58
6/30/2017,10.54
7/3/2017,10.03
7/5/2017,9.89
7/6/2017,9.8
7/7/2017,9.98
7/10/2017,9.65
7/11/2017,9.96
7/12/2017,9.7
7/13/2017,9.84
7/14/2017,10.36
7/17/2017,10.27
7/18/2017,10
7/19/2017,10.02
7/20/2017,9.84
7/21/2017,9.95
7/24/2017,9.86
7/25/2017,9.75
7/26/2017,9.5
7/27/2017,9.8
7/28/2017,9.54
7/31/2017,9.36
8/1/2017,9.78
8/2/2017,9.61
8/3/2017,9.76
8/4/2017,9.49
8/7/2017,12.44
8/8/2017,12.22
8/9/2017,12.68
8/10/2017,12.5
8/11/2017,12.6
8/14/2017,13.25
8/15/2017,13.5
8/16/2017,14.16
8/17/2017,12.82
8/18/2017,13.5
8/21/2017,14.6
8/22/2017,15
8/23/2017,14.57
8/24/2017,14.56
8/25/2017,15.35
8/28/2017,15.69
8/29/2017,15.35
8/30/2017,14.75
8/31/2017,15.07
9/1/2017,15.07
9/5/2017,14.61
9/6/2017,14.6
9/7/2017,14.99
9/8/2017,15.25
9/11/2017,15.8
9/12/2017,15
9/13/2017,15.04
9/14/2017,15.18
9/15/2017,15.61
9/18/2017,16.42
9/19/2017,16.45
9/20/2017,16.8
9/21/2017,16.8
9/22/2017,16.17
9/25/2017,15.32
9/26/2017,15
9/27/2017,15.64
9/28/2017,14.2
9/29/2017,14.67
10/2/2017,13.58
10/3/2017,14.63
10/4/2017,14.45
10/5/2017,14.61
10/6/2017,14.02
10/9/2017,14.33
10/10/2017,14.17
10/11/2017,14.1
10/12/2017,14.1
10/13/2017,14.02
10/17/2017,14.33
10/18/2017,14.33
10/19/2017,13.9
10/20/2017,14.14
10/23/2017,14.05
10/24/2017,13.96
10/25/2017,13.95
10/27/2017,14.06
10/31/2017,14.35
11/1/2017,14.52
11/3/2017,14.28
11/6/2017,13.97
11/7/2017,14.16
11/8/2017,14.8
11/9/2017,16.03
11/10/2017,16.35
11/13/2017,17.2
